brand_name,generic_name,manufacturer,year,total_claims_16,total_claims_17
abacavir,abacavir sulfate,mylan instituti,2013,179,NA
abacavir,abacavir sulfate,mylan instituti,2014,183,NA
abacavir,abacavir sulfate,mylan instituti,2015,191,NA
abacavir,abacavir sulfate,mylan instituti,2016,98,NA
abacavir-lamivudine,abacavir sulfate/lamivudine,prasco labs,2016,NA,6430
abacavir-lamivudine,abacavir sulfate/lamivudine,teva usa,2016,NA,7476
abelcet,amphotericin b lipid complex,sigma-tau,2013,435,NA
abelcet,amphotericin b lipid complex,sigma-tau,2014,419,NA
abelcet,amphotericin b lipid complex,sigma-tau,2015,439,NA
abelcet,amphotericin b lipid complex,sigma-tau,2016,476,NA
abelcet,amphotericin b lipid complex,sigma-tau/leadi,2013,NA,435
abelcet,amphotericin b lipid complex,sigma-tau/leadi,2014,NA,419
abelcet,amphotericin b lipid complex,sigma-tau/leadi,2015,NA,439
abelcet,amphotericin b lipid complex,sigma-tau/leadi,2016,NA,476
abstral,fentanyl citrate,galena biopharm,2014,483,NA
abstral,fentanyl citrate,galena biopharm,2015,792,NA
abstral,fentanyl citrate,galena biopharm,2016,801,NA
acamprosate calcium,acamprosate calcium,teva usa,2016,NA,3136
acarbose,acarbose,actavis pharma,2013,43561,NA
acarbose,acarbose,actavis pharma,2014,39251,NA
acarbose,acarbose,actavis pharma,2015,32191,NA
acarbose,acarbose,actavis pharma,2016,20614,NA
acarbose,acarbose,actavis pharma/,2013,NA,43561
acarbose,acarbose,actavis pharma/,2014,NA,39251
acarbose,acarbose,actavis pharma/,2015,NA,32191
acarbose,acarbose,actavis pharma/,2016,NA,20614
acarbose,acarbose,global/impax,2013,NA,16370
acarbose,acarbose,global/impax,2014,NA,6443
acarbose,acarbose,global/impax,2015,NA,3114
acarbose,acarbose,global/impax,2016,NA,1892
accolate,zafirlukast,par pharmaceuti,2015,1144,NA
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,xspire pharma,2015,NA,166
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,xspire pharma,2016,NA,1496
acetaminophen-codeine,acetaminophen with codeine,qualitest,2013,1228216,NA
acetaminophen-codeine,acetaminophen with codeine,qualitest,2014,1331199,NA
acetaminophen-codeine,acetaminophen with codeine,qualitest,2015,1306750,NA
acetaminophen-codeine,acetaminophen with codeine,qualitest,2016,291892,NA
acetaminophen-codeine,acetaminophen with codeine,qualitest/par p,2013,NA,1228024
acetaminophen-codeine,acetaminophen with codeine,qualitest/par p,2014,NA,1330919
acetaminophen-codeine,acetaminophen with codeine,qualitest/par p,2015,NA,1304293
acetaminophen-codeine,acetaminophen with codeine,qualitest/par p,2016,NA,291448
acetazolamide,acetazolamide,barr,2013,13355,NA
acetazolamide,acetazolamide,barr,2014,25369,NA
acetazolamide,acetazolamide,barr,2015,29970,NA
acetazolamide,acetazolamide,barr,2016,10610,NA
acetazolamide,acetazolamide,nostrum laborat,2016,NA,59
acetazolamide,acetazolamide,teva usa,2013,NA,13355
acetazolamide,acetazolamide,teva usa,2014,NA,25369
acetazolamide,acetazolamide,teva usa,2015,NA,29970
acetazolamide,acetazolamide,teva usa,2016,NA,10610
acetic acid,acetic acid,hospira,2013,14864,NA
acetic acid,acetic acid,hospira,2014,15492,NA
acetic acid,acetic acid,hospira,2015,14827,NA
acetic acid,acetic acid,hospira,2016,15598,NA
acetic acid,acetic acid,hospira/icu med,2013,NA,14864
acetic acid,acetic acid,hospira/icu med,2014,NA,15492
acetic acid,acetic acid,hospira/icu med,2015,NA,14827
acetic acid,acetic acid,hospira/icu med,2016,NA,15598
acetic acid,acetic acid,qualitest,2013,11507,NA
acetic acid,acetic acid,qualitest,2014,15034,NA
acetic acid,acetic acid,qualitest,2015,17171,NA
acetic acid,acetic acid,qualitest,2016,13589,NA
acetic acid,acetic acid,qualitest/par p,2013,NA,11507
acetic acid,acetic acid,qualitest/par p,2014,NA,15034
acetic acid,acetic acid,qualitest/par p,2015,NA,17171
acetic acid,acetic acid,qualitest/par p,2016,NA,13589
acetylcysteine,acetylcysteine,hospira,2013,1995,NA
acetylcysteine,acetylcysteine,hospira,2014,8895,NA
acetylcysteine,acetylcysteine,hospira,2015,12409,NA
acetylcysteine,acetylcysteine,hospira,2016,10586,NA
acetylcysteine,acetylcysteine,hospira/pfizer,2013,NA,1995
