alt_brand,alt_generic,alt_manu,year,total_claims_16,total_claims_17
sodium chloride,0.9 % sodium chloride,b.braun,2015,14242,14269
sodium chloride,0.9 % sodium chloride,b.braun,2016,22404,23336
sodium chloride,0.9 % sodium chloride,baxter healthca,2014,117731,117719
sodium chloride,0.9 % sodium chloride,baxter healthca,2015,125758,125705
sodium chloride,0.9 % sodium chloride,baxter healthca,2016,144145,143678
sodium chloride,0.9 % sodium chloride,fresenius kabi,2013,NA,46
sodium chloride,0.9 % sodium chloride,fresenius kabi,2016,NA,341
sodium chloride,0.9 % sodium chloride,hospira,2013,44014,NA
sodium chloride,0.9 % sodium chloride,hospira,2014,48891,NA
sodium chloride,0.9 % sodium chloride,hospira,2015,44445,NA
sodium chloride,0.9 % sodium chloride,hospira,2016,38654,NA
sodium chloride,0.9 % sodium chloride,hospira/icu med,2013,NA,35794
sodium chloride,0.9 % sodium chloride,hospira/icu med,2014,NA,39701
sodium chloride,0.9 % sodium chloride,hospira/icu med,2015,NA,37165
sodium chloride,0.9 % sodium chloride,hospira/icu med,2016,NA,32037
sodium chloride,0.9 % sodium chloride,hospira/pfizer,2013,NA,7995
sodium chloride,0.9 % sodium chloride,hospira/pfizer,2014,NA,8788
sodium chloride,0.9 % sodium chloride,hospira/pfizer,2015,NA,7061
sodium chloride,0.9 % sodium chloride,hospira/pfizer,2016,NA,6681
abacavir,abacavir sulfate,mylan instituti,2013,179,NA
abacavir,abacavir sulfate,mylan instituti,2014,183,NA
abacavir,abacavir sulfate,mylan instituti,2015,191,NA
abacavir,abacavir sulfate,mylan instituti,2016,98,NA
ziagen,abacavir sulfate,viiv healthcare,2013,9966,9400
ziagen,abacavir sulfate,viiv healthcare,2014,3681,3573
ziagen,abacavir sulfate,viiv healthcare,2015,2818,2758
ziagen,abacavir sulfate,viiv healthcare,2016,2413,2360
abacavir-lamivudine,abacavir sulfate/lamivudine,prasco labs,2016,NA,6430
abacavir-lamivudine,abacavir sulfate/lamivudine,teva usa,2016,NA,7476
orencia clickject,abatacept,bms primarycare,2016,NA,1123
dysport,abobotulinumtoxina,ipsen biopharma,2013,133,167
dysport,abobotulinumtoxina,ipsen biopharma,2014,160,206
dysport,abobotulinumtoxina,ipsen biopharma,2015,184,214
dysport,abobotulinumtoxina,ipsen biopharma,2016,243,303
acamprosate calcium,acamprosate calcium,teva usa,2016,NA,3136
precose,acarbose,"bayer,pharm div",2013,418,235
precose,acarbose,"bayer,pharm div",2014,274,171
precose,acarbose,"bayer,pharm div",2015,201,118
precose,acarbose,"bayer,pharm div",2016,185,109
acarbose,acarbose,global pharm,2013,37394,8326
acarbose,acarbose,global pharm,2014,15069,3147
acarbose,acarbose,global pharm,2015,7436,1441
acarbose,acarbose,global pharm,2016,3542,1002
acarbose,acarbose,global/impax,2013,NA,16370
acarbose,acarbose,global/impax,2014,NA,6443
acarbose,acarbose,global/impax,2015,NA,3114
acarbose,acarbose,global/impax,2016,NA,1892
acarbose,acarbose,heritage pharma,2014,32184,29601
acarbose,acarbose,heritage pharma,2015,28252,23980
acarbose,acarbose,heritage pharma,2016,5740,4433
acarbose,acarbose,virtus pharmace,2014,1382,1326
acarbose,acarbose,virtus pharmace,2015,9061,8680
acarbose,acarbose,virtus pharmace,2016,53849,64806
sectral,acebutolol hcl,promius pharma,2013,457,NA
sectral,acebutolol hcl,promius pharma,2014,462,NA
sectral,acebutolol hcl,promius pharma,2015,425,NA
sectral,acebutolol hcl,promius pharma,2016,88,NA
acetaminophen-codeine,acetaminophen with codeine,aurobindo pharm,2014,13276,13315
acetaminophen-codeine,acetaminophen with codeine,aurobindo pharm,2015,81386,81420
acetaminophen-codeine,acetaminophen with codeine,aurobindo pharm,2016,110535,110630
acetaminophen-codeine,acetaminophen with codeine,morton grove ph,2013,6835,6637
acetaminophen-codeine,acetaminophen with codeine,morton grove ph,2014,5587,5524
acetaminophen-codeine,acetaminophen with codeine,morton grove ph,2015,9497,9314
acetaminophen-codeine,acetaminophen with codeine,morton grove ph,2016,7250,7197
acetaminophen-codeine,acetaminophen with codeine,qualitest/par p,2013,1228216,1228024
acetaminophen-codeine,acetaminophen with codeine,qualitest/par p,2014,1331199,1330919
acetaminophen-codeine,acetaminophen with codeine,qualitest/par p,2015,1306750,1304293
acetaminophen-codeine,acetaminophen with codeine,qualitest/par p,2016,291892,291448
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,xspire pharma,2015,NA,166
acetamin-caff-dihydrocodeine,acetaminophen/caff/dihydrocod,xspire pharma,2016,NA,1496
dihydrocodein-acetaminoph-caff,acetaminophen/caff/dihydrocod,xspire pharma,2015,166,NA
dihydrocodein-acetaminoph-caff,acetaminophen/caff/dihydrocod,xspire pharma,2016,1496,NA
diamox sequels,acetazolamide,duramed/barr,2013,1237,NA
diamox sequels,acetazolamide,duramed/barr,2014,1179,NA
diamox sequels,acetazolamide,duramed/barr,2015,978,NA
diamox sequels,acetazolamide,duramed/barr,2016,739,NA
acetazolamide,acetazolamide,nostrum laborat,2016,NA,59
diamox sequels,acetazolamide,teva women's he,2013,NA,1237
diamox sequels,acetazolamide,teva women's he,2014,NA,1179
diamox sequels,acetazolamide,teva women's he,2015,NA,978
diamox sequels,acetazolamide,teva women's he,2016,NA,739
lithostat,acetohydroxamic acid,mission pharm.,2013,NA,544
lithostat,acetohydroxamic acid,mission pharm.,2014,NA,381
lithostat,acetohydroxamic acid,mission pharm.,2015,NA,13
lithostat,acetohydroxamic acid,mission pharm.,2016,NA,61
acetylcysteine,acetylcysteine,roxane labs.,2013,807,NA
acetylcysteine,acetylcysteine,roxane labs.,2014,322,NA
acetylcysteine,acetylcysteine,roxane labs.,2015,304,NA
acetylcysteine,acetylcysteine,roxane labs.,2016,152,NA
acitretin,acitretin,actavis/impax g,2016,NA,2908
acitretin,acitretin,mylan,2016,NA,5787
acitretin,acitretin,sigmapharm labo,2015,152,160
acitretin,acitretin,sigmapharm labo,2016,6542,6810
tudorza pressair,aclidinium bromide,actavis u.s. br,2014,235772,229967
tudorza pressair,aclidinium bromide,actavis u.s. br,2015,225955,219559
tudorza pressair,aclidinium bromide,actavis u.s. br,2016,7878,7616
acyclovir,acyclovir,ahp,2014,23,26
acyclovir,acyclovir,ahp,2015,134,41
acyclovir,acyclovir,ahp,2016,98,108
acyclovir,acyclovir,dava pharmaceut,2013,76,NA
acyclovir,acyclovir,dava pharmaceut,2014,76,NA
acyclovir,acyclovir,dava pharmaceut,2015,2400,NA
acyclovir,acyclovir,dava pharmaceut,2016,542,NA
acyclovir,acyclovir,"gsms, inc.",2014,22,NA
acyclovir,acyclovir,"gsms, inc.",2015,76,NA
acyclovir,acyclovir,"gsms, inc.",2016,66,NA
acyclovir,acyclovir,mckesson packag,2016,NA,135
acyclovir,acyclovir,mylan,2013,191323,168226
acyclovir,acyclovir,mylan,2014,176217,173608
acyclovir,acyclovir,mylan,2015,73051,72540
acyclovir,acyclovir,mylan,2016,54090,53937
acyclovir,acyclovir,oceanside pharm,2013,24261,NA
acyclovir,acyclovir,oceanside pharm,2014,22133,NA
acyclovir,acyclovir,oceanside pharm,2015,2528,NA
acyclovir,acyclovir,oceanside pharm,2016,199,NA
zovirax,acyclovir,prestium/mylan,2014,89,38
zovirax,acyclovir,prestium/mylan,2015,391,151
zovirax,acyclovir,prestium/mylan,2016,315,212
acyclovir,acyclovir,qualitest/par p,2013,34497,NA
acyclovir,acyclovir,qualitest/par p,2014,1744,NA
acyclovir,acyclovir,qualitest/par p,2015,5840,NA
acyclovir,acyclovir,qualitest/par p,2016,1158,NA
acyclovir,acyclovir,quinn pharmaceu,2016,NA,12856
acyclovir sodium,acyclovir sodium,app/fresenius k,2013,314,149
acyclovir sodium,acyclovir sodium,app/fresenius k,2014,290,191
acyclovir sodium,acyclovir sodium,app/fresenius k,2015,240,153
acyclovir sodium,acyclovir sodium,app/fresenius k,2016,219,139
acyclovir sodium,acyclovir sodium,auromedics phar,2014,41,47
acyclovir sodium,acyclovir sodium,auromedics phar,2015,72,118
acyclovir sodium,acyclovir sodium,auromedics phar,2016,122,222
epiduo forte,adapalene/benzoyl peroxide,galderma labora,2015,NA,41
epiduo forte,adapalene/benzoyl peroxide,galderma labora,2016,NA,269
albutein,albumin human,grifols,2013,44,NA
albutein,albumin human,grifols,2014,44,NA
albutein,albumin human,grifols,2015,90,NA
albutein,albumin human,grifols,2016,82,NA
